Rank,Team,Points,Played,Won,Drawn,Lost,Goalsfor,Goals Against
1,FC Barcelona,94,38,30,4,4,110,21
2,Real Madrid,92,38,30,2,6,118,38
3,Ateletico Madrid,78,38,23,9,6,67,29
4,Valencia CF,77,38,22,11,5,70,32
5,Sevilla FC,76,38,23,7,8,71,45
6,Vilarreal CF,60,38,16,12,10,48,37
7,Athletic Club55,55,38,15,10,13,42,41
8,,51,38,13,12,13,42,44
9,Malaga CF,50,38,14,8,16,42,48
10,RCD Espanyol,49,38,13,10,15,47,51
11,Rayo Vallecano,49,38,15,4,19,46,68
12,Real Sociedad,46,38,11,13,14,44,51
13,Elche CF,41,38,11,8,19,35,62
14,Levante UD,37,38,9,10,19,34,67
15,Getafe CF,37,38,10,7,21,33,64
16,RC Deporvito,35,38,7,14,17,35,60
17,Granada CF,35,38,7,14,17,29,64
18,SD Elibar,35,38,9,8,21,34,55
19,UD Almeria,32,38,8,8,22,35,64
20,Cordoba CF,20,38,3,11,24,22,68
